msa,saudi,egyptian,iraqi,levantine,moroccan
الطعام المحلي لذيذ جداً.,الاكل المحلي لذيذ جدًا.,الاكل البلدي حلو اوي.,الاكل المحلي طيب كلش.,الاكل البلدي طيب كتير.,الماكله البلديه بنينه بزاف.
ما هي تكلفه الرحله الي جزر المالديف؟,كم تكلفه الرحله لجزر المالديف؟,كام تكلفه الرحله لجزر المالديف؟,ايش قد تكلفه الرحله لجزر المالديف؟,قديش تكلفه الرحله لجزر المالديف؟,شحال تكلفه الرحله لجزر المالديف؟
هل هناك اي رحلات سفاري متاحه؟,فيه اي رحلات سفاري فاضيه؟,فيه اي رحلات سفاري متاحه؟,اكو اي رحلات سفاري متوفره؟,في اي رحلات سفاري متوفره؟,واش كاين شي رحلات سفاري متوفره؟
اريد ان اتعلم بعض العبارات الاساسيه باللغه العربيه.,ابغي اتعلم شويه عبارات اساسيه باللغه العربيه.,عايز اتعلم شويه عبارات اساسيه بالعربي.,اريد اتعلم جم عباره اساسيه بالعربي.,بدي اتعلم كم كلمه اساسيه بالعربي.,بغيت نتعلم شي عبارات اساسيه بالعربيه.
الطقس هنا جميل ومشمس.,الجو هنا جميل ومشمس.,الجو هنا جميل ومشمس.,الجو هنا حلو ومشمّس.,الطقس هون كتير حلو ومشمس.,الطقس هنا زوين ومشمس.
اين يمكنني شراء بطاقه SIM محليه؟,وين اقدر اشتري شريحه جوال محليه؟,فين ممكن اشتري شريحه محليه؟,وين اكدر اشتري خط محلي؟,وين فيني اشتري شريحه محليه؟,فين نقدر نشري شيبي محليه؟
استمتعت برحله القارب في النهر.,استمتعت برحله القارب في النهر.,استمتعت برحله المركب في النهر.,استمتعت برحله القارب بالنهر.,استمتعت برحله القارب بالنهر.,استمتعت برحله الباطو فالنهر.
ما هي الانشطه الترفيهيه المتوفره؟,وش الانشطه الترفيهيه المتوفره؟,ايه هي الانشطه الترفيهيه المتاحه؟,شنو الانشطه الترفيهيه المتوفره؟,شو الانشطه الترفيهيه المتوفره؟,شنو هي الانشطه الترفيهيه لي كاينه؟
هل يوجد دليل سياحي يتحدث الانجليزيه؟,فيه دليل سياحي يتكلم انجليزي؟,فيه دليل سياحي بيتكلم انجليزي؟,اكو دليل سياحي يحجي انگليزي؟,فيه دليل سياحي بيحكي انجليزي؟,واش كاين شي دليل سياحي كيهضر نڭليزيه؟
ساحزم ملابسي الخفيفه للرحله.,بحزم ملابسي الخفيفه للرحله.,هحزم هدومي الخفيفه للرحله.,راح احزم ملابسي الخفيفه للرحله.,رح حزم تيابي الخفيفه للرحله.,غادي نحزم حوايجي الخفافين للرحله.
ما هي وسايل النقل العام المتوفره؟,وش هي مواصلات العامه المتوفره؟,ايه هي مواصلات عامه اللي موجوده؟,شنو هي وسايل النقل العام المتوفره؟,شو هي وسايل النقل العام المتوفره؟,شنو هما وسايل النقل العام لي كاينين؟
هل يمكنني دفع الفاتوره ببطاقه الايتمان؟,هل اقدر ادفع الفاتوره ببطاقه الفيزا؟,ممكن ادفع الحساب بكارت الكريديت؟,اگدر ادفع الحساب ببطاقه الفيزا؟,فيني ادفع الفاتوره بكرت الكريديت؟,واش نقدر نخلص الفاتوره بكارت كريديت؟
ساعود الي هذا المكان مره اخري.,برجع للمكان هذا مره ثانيه.,هارجع للمكان ده تاني.,راح ارجع لهذا المكان مره ثانيه.,رح ارجع لهالمكان هون مره تانيه.,غنرجع لهاد البلاصه مره اخري.
هل يوجد انترنت لاسلكي في الفندق؟,فيه واي فاي في الفندق؟,فيه واي فاي في الاوتيل؟,اكو واي فاي بالفندق؟,فيه واي فاي بالفندق؟,واش كاين الواي فاي فلهوتيل؟
احتاج الي توصيله من المطار الي الفندق.,احتاج توصيله من المطار للفندق.,انا محتاج توصيله من المطار للفندق.,احتاج توصيله من المطار للفندق.,بدي توصيله من المطار ع الفندق.,بغيت توصيله من المطَار للفندق.
ما هو سعر تذكره الدخول الي المتحف؟,كم سعر تذكره الدخول للمتحف؟,سعر تذكره دخول المتحف كام؟,ايش قد سعر تذكره دخول المتحف؟,قديش سعر تذكره دخول المتحف؟,شحال تمن تذكره الدخول للمتحف؟
هل يوجد اي مهرجانات تقام خلال هذه الفتره؟,فيه اي مهرجانات تصير هالفتره؟,فيه اي مهرجانات بتتعمل الفتره دي؟,اكو اي مهرجانات تصير بهاي الفتره؟,في اي مهرجانات عم تصير بهالفتره؟,واش كاين شي مهرجانات كيتدارو هاد الفتره؟
اريد ان اتعلم بعض الكلمات المحليه.,ابغي اتعلم شويه كلمات محليه.,عايز اتعلم شويه كلمات بلديه.,اريد اتعلم شي كلمات محليه.,بدي اتعلم شويه كلمات محليه.,بغيت نتعلم شي كلمات عاميه.
ما هي الاماكن التي تنصح بزيارتها؟,وش الاماكن اللي تنصح ازورها؟,ايه الاماكن اللي بتنصح ازورها؟,شنو الاماكن اللي تنصح بزياراتها؟,شو الاماكن اللي بتنصح نزورها؟,شنو البلايص اللي كتْنصحْ نزورُهُم؟
سالتقط الكثير من الصور التذكاريه.,راح اصور كثير من الصور التذكاريه.,هاخد صور كتير تذكاريه.,راح اصور هواي صور تذكاريه.,رح صور كتير صور تذكاريه.,غادي ناخد بزاف د الصور التذكاريه.
اريد ان ارسل بطاقه بريديه الي عايلتي.,ابغي ارسل كرت بريد لعايلتي.,انا عايز ابعت كارت بوستال لعيلتي.,اريد ارسل بطاقه بريديه لاهلي.,بدي ابعث كرت بريد لعيلتي.,بغيت نبعث واحد الكارط بوسطال لعايلتي.
ساشتري بعض الكتب عن تاريخ هذا البلد.,بشتري كم كتاب عن تاريخ هالدوله.,هشتري شويه كتب عن تاريخ البلد دي.,راح اشتري جم كتاب عن تاريخ هاي الدوله.,رح اشتري كم كتاب عن تاريخ هالبلد.,غنشري شي كُتب علي تاريخ هاد لبلاد.
اريد ان ازور المكتبات المحليه.,ابغي ازور المكتبات المحليه.,عايز ازور المكتبات المحليه.,اريد ازور المكتبات المحليه.,بدي زور المكتبات المحليه.,بغيت نزور المكتبات المحليه.
هل يوجد اي عروض خاصه علي الرحلات السياحيه؟,فيه اي عروض خاصه علي الرحلات السياحيه؟,فيه اي عروض خاصه علي الرحلات السياحيه؟,اكو اي عروض خاصه علي السفرات السياحيه؟,فيه اي عروض خاصه علي الرحلات السياحيه؟,واش كاين شي عروض خاصه علي الرحلات السياحيه؟
ابحث عن رحله بحريه.,ادوّر علي رحله بحريه.,بدوّر علي رحله بحريه.,ادور علي رحله بحريه.,عم دور علي رحله بحريه.,كنقلّب علي رحله بحريه.
اريد ان استمتع بالشواطي الرمليه.,ابغي استمتع بالشواطي الرمليه.,عايز استمتع بالشواطي الرمليه.,اريد استمتع بالشواطي الرمليه.,بدي استمتع بالشواطي الرمليه.,بغيت نتمتع بالشواطي الرمليه.
هل يوجد اي انشطه رياضيه ماييه؟,فيه اي انشطه رياضيه بحريه؟,فيه اي انشطه رياضيه ماييه؟,اكو اي فعاليات رياضيه ماييه؟,فيه اي نشاطات رياضيه ماييه؟,واش كاين شي انشطه رياضيه ماييه؟
ارغب في تجربه ركوب الامواج.,ابغي اجرب ركوب الامواج.,نفسي اجرب ركوب الامواج.,اريد اجرب ركوب الامواج.,بدي جرب ركوب الامواج.,بغيت نجرب ركوب الامواج.
ساشتري بعض الهدايا التذكاريه لنفسي.,بشتري لي كم تذكار.,هشتري لي شويه هدايا تذكاريه.,راح اشتري هدايا تذكاريه لنفسي.,رح اشتري شويه هدايا تذكاريه لحالي.,غنشري شي هدايا تذكاريه لراسي.
ساحجز غرفه في فندق خمس نجوم.,بحجز غرفه بفندق خمس نجوم.,هحجز اوضه في فندق خمس نجوم.,راح احجز غرفه بفندق خمس نجوم.,رح احجز غرفه بفندق خمس نجوم.,غادي نحجز بيت فندق خمسه د النجوم.
اريد ان استمتع بالراحه والاسترخاء.,ابغي استمتع بالراحه والاسترخاء.,انا عايز استمتع بالراحه والاسترخاء.,اريد استمتع بالراحه والاسترخاء.,بدي استمتع بالراحه والاسترخاء.,بغيت نستمتع بالراحه والاسترخاء.
هل يوجد سبا في الفندق؟,فيه سبا في الفندق؟,فيه سبا في الاوتيل؟,اكو سبا بالفندق؟,في سبا بالفندق؟,واش كاين شي سبا فلهوطيل؟
ارغب في الحصول علي تدليك.,ابغي مساج.,انا عايز مساج.,اريد مساج.,بدي مساج.,بغيت مساج.
ما هي الاماكن التي تقدم الطعام الحلال؟,وش الاماكن اللي تقدم اكل حلال؟,ايه الاماكن اللي بتقدم اكل حلال؟,شنو الاماكن اللي تقدم اكل حلال؟,شو الاماكن يلي بتقدم اكل حلال؟,شنو البلايص اللي كيقدمو ماكله حلال؟
اريد ان اجرب الماكولات البحريه الطازجه.,ابغي اجرب الماكولات البحريه الطازجه.,عايز اجرب الاكل البحري الطازه.,اريد اجرب الاكل البحري الطازج.,بدي جرب الماكولات البحريه الطازه.,بغيت نجرب الماكولات البحريه طريه.
هل يوجد اي مطاعم نباتيه؟,فيه اي مطاعم نباتيه؟,فيه اي مطاعم نباتي؟,اكو اي مطاعم نباتيه؟,في اي مطاعم نباتيه؟,كاين شي مطاعم نباتيه؟
ساحضر دوره طبخ.,باحضر دوره طبخ.,هاحضر دوره طبخ.,راح احضر دوره طبخ.,رح احضر دوره طبخ.,غادي نحضر دوره الطبخ.
هل يوجد اي متاحف فنيه؟,فيه اي متاحف فنيه؟,فيه اي متاحف فنيه؟,اكو اي متاحف فنون؟,في اي متاحف فن؟,واش كاين شي متاحف دالفن؟
هل يوجد اي عروض مسرحيه؟,فيه اي مسرحيات معروضه؟,فيه اي مسرحيات معروضه؟,اكو اي مسرحيات معروضه؟,فيه اي مسرحيات معروضه؟,كاين شي مسرحيات دايرينها؟
اريد ان اشاهد عرضاً فنياً.,ابغي اشوف عرض فني.,انا عايز اشوف عرض فني.,اريد اشوف عرض فني.,بدي شوف عرض فني.,بغيت نشوف عرض فني.
ساحجز تذاكر لحضور حفل موسيقي.,باحجز تذاكر لحضور حفله موسيقيه.,هحجز تذاكر عشان احضر حفله موسيقي.,راح احجز تذاكر لحضور حفله موسيقيه.,رح احجز تذاكر لحضور حفله موسيقا.,غادي نحجز تداكر باش نحضر حفله موسيقيه.
هل يوجد اي نوادي ليليه؟,فيه اي نوادي ليليه؟,فيه اي نوادي ليليه؟,اكو اي نوادي ليليه؟,في اي نوادي ليليه؟,كاين شي نوادي ليليه؟
اريد ان ارقص علي انغام الموسيقي.,ابغي ارقص علي انغام الموسيقي.,عايز ارقص علي انغام الموسيقي.,اريد ارقص علي انغام الموسيقي.,بدي ارقص علي انغام الموسيقي.,بغيت نرقص علي نغمه لموسيقي.
اريد ان اتعلم العزف علي اله موسيقيه محليه.,ابغي اتعلم العزف علي اله موسيقيه شعبيه.,انا عايز اتعلم عزف علي اله موسيقيه بلديه.,اريد اتعلم عزف علي اله موسيقيه محليه.,بدي اتعلم عزف علي اله موسيقيه بلديه.,بغيت نتعلم لعزف علي شي اله موسيقيه شعبيه.
ساحضر درساً في الموسيقي.,باحضر درس موسيقي.,هاحضر درس موسيقي.,راح احضر درس موسيقي.,رح احضر درس موسيقي.,غادي نحضر درس د لموسيقي.
هل يوجد اي مدارس لتعليم اللغه العربيه؟,فيه اي مدارس لتعليم اللغه العربيه؟,فيه اي مدارس لتعليم اللغه العربيه؟,اكو اي مدارس لتعليم اللغه العربيه؟,فيه اي مدارس لتعليم اللغه العربيه؟,واش كاين شي مدارس لتعليم اللغه العربيه؟
اريد ان احسن لغتي العربيه.,ابغي احسّن لغتي العربيه.,انا عايز احسن لغتي العربيه.,اريد احسن لغتي العربيه.,بدي حسّن لغتي العربيه.,بغيت نحسن لغتي العربيه.
ساشتري بعض الكتب لتعلم اللغه العربيه.,بشتري كم كتاب عشان اتعلم عربي.,هشتري شويه كتب عشان اتعلم عربي.,راح اشتري كم كتاب حتي اتعلم عربي.,رح اشتري كم كتاب لحتي اتعلم عربي.,غادي نشري شي كُتب باش نتعلم لعربيه.
اريد ان اتحدث مع السكان المحليين.,ابغي اكلم اهل البلد.,انا عايز اكلم الناس المحليين.,اريد احجي ويه اهل المنطقه.,بدي احكي مع الاهالي.,بغيت نهضر مع السكان المحليين.
ساتعلم بعض العادات والتقاليد المحليه.,بتعلم بعض العادات والتقاليد المحليه.,هتعلم شويه عادات وتقاليد محليه.,راح اتعلم شويه عادات وتقاليد محليه.,رح اتعلم شويه عادات وتقاليد محليه.,غادي نتعلم شي عادات وتقاليد محليه.
اريد ان افهم ثقافه هذا البلد بشكل افضل.,ابغي افهم ثقافه هالديره بشكل افضل.,انا عايز افهم ثقافه البلد دي بشكل احسن.,اريد افهم ثقافه هالبلد بشكل احسن.,بدي افهم ثقافه هالبلد بشكل احسن.,بغيت نفهم ثقافه هاد البلاد بشكل احسن.
ساحترم عادات وتقاليد هذا البلد.,باحترم عادات وتقاليد هالبلد.,هحترم عادات وتقاليد البلد دي.,راح احترم عادات وتقاليد هذا البلد.,رح احترم عادات وتقاليد هالبلد.,غادي نحترم عادات وتقاليد هاد لبلاد.
ساكون سفيراً جيداً لبلدي.,بَكُون سفير زين لبلدي.,هَكون سفير كويس لبلدي.,راح اكون سفير زين لبلدي.,رح كون سفير منيح لبلدي.,غادي نكون سفير مزيان لبلادي.
ساشارك تجربتي مع الاخرين.,بشارك تجربتي مع الاخرين.,هشارك تجربتي مع الاخرين.,راح اشارك تجربتي ويا الاخرين.,رح شارك تجربتي مع التانين.,غادي نبارطاجي تجربتي مع لاخرين.
ساساعد الاخرين في التخطيط لرحلاتهم.,بساعد الاخرين في تخطيط رحلاتهم.,هساعد الاخرين في تخطيط رحلاتهم.,راح اساعد الاخرين بتخطيط سفراتهم.,رح ساعد الاخرين بتخطيط سفراتهم.,غادي نساعد الاخرين فالتخطيط ديال لسفر ديالهم.
سانشر صور رحلاتي علي مواقع التواصل الاجتماعي.,بنشر صور رحلاتي علي مواقع التواصل الاجتماعي.,هنزل صور سفرياتي علي السوشيال ميديا.,راح انشر صور سفراتي علي مواقع التواصل الاجتماعي.,رح نزل صور سفراتي عالسوشل ميديا.,غادي نبارطاجي تصاور ديال لي فواياج ديالي علي مواقع التواصل الاجتماعي.
ساشارك ذكرياتي مع عايلتي واصدقايي.,بشارك ذكرياتي مع اهلي واصحابي.,هشارك ذكرياتي مع عيلتي واصحابي.,راح اشارك ذكرياتي ويا اهلي واصدقايي.,رح شارك ذكرياتي مع عيلتي ورفقاتي/اصحابي.,غادي نشارك ذكرياتي مع عايلتي وصحابي.
الرحله كانت تجربه رايعه لا تُنسي.,الرحله كانت تجربه رايعه ما تُنسي.,الرحله كانت تجربه رايعه ما تتنساش.,الرحله چانت تجربه رايعه ما تُنسي.,الرحله كانت تجربه رايعه ما بتنتسي.,الرحله كانت تجربه رايعه ما تنساش.
اتطلع الي زياره المزيد من البلدان.,اتطلع لزياره دول اكثر.,بتطلع ازور بلاد اكتر.,اتطلع ازور دول اكثر.,متطلع لزياره بلاد اكتر.,كانتسني باش نزور بلدان اكثر.
السفر يثري الثقافه.,السفر يثري الثقافه.,السفر بيغني الثقافه.,السفر يثري الثقافه.,السفر بيزيد الثقافه.,السفر كيبني الثقافه.
السفر يجعلنا اشخاصاً افضل.,السفر يخلينا ناس احسن.,السفر بيخلينا ناس احسن.,السفر يسوينا ناس احسن.,السفر بيعملنا ناس احسن.,السفر كيخلينا ناس حسن.
ساكتشف جمال العالم.,راح اكتشف جمال العالم.,هكتشف جمال الدنيا.,راح اكتشف جمال العالم.,رح اكتشف جمال العالم.,غادي نكتاشف جمال العالم.
ساعيش حياه ملييه بالمغامرات.,بعيش حياه مليانه مغامرات.,هعيش حياه مليانه مغامرات.,راح اعيش حياه مليانه مغامرات.,رح عيش حياه مليانه مغامرات.,غادي نعيش حياه عامره بالمغامرات.
ساحجز غرفه فندقيه مطله علي البحر.,باحجز غرفه فندق مطله علي البحر.,هحجز اوضه فندق مطله علي البحر.,راح احجز غرفه فندق مطله علي البحر.,رح احجز غرفه فندق مطله عالبحر.,غادي نحجز بيت فندق مطل علي البحر.
اريد ان استكشف الثقافه المحليه.,ابغي استكشف الثقافه المحليه.,عايز اكتشف الثقافه المحليه.,اريد اكتشف الثقافه المحليه.,بدي اكتشف الثقافه المحليه.,بغيت نكتشف الثقافه المحليه.
اين يمكنني صرف العمله؟,وين اقدر اصرف العمله؟,فين ممكن اغير فلوس؟,وين اكدر اصرف العمله؟,وين فيني صرف العمله؟,فين نقدر نصرف العمله؟
ما هي تكلفه الرحله الي المدينه؟,كم تكلفه الرحله للمدينه؟,كام تكلفه الرحله للمدينه؟,ايش قد تكلفه الرحله للمدينه؟,قديش تكلفه السفره ع المدينه؟,شحال تمن الرحله للمدينه؟
هل يمكنني الحصول علي دليل سياحي؟,هل اقدر احصل علي دليل سياحي؟,ممكن دليل سياحي؟,اگدر احصل علي دليل سياحي؟,فيني احصل علي دليل سياحي؟,واش ممكن ناخد دليل سياحي؟
ساسافر بالقطار الي الوجهه التاليه.,بسافر بالقطار للوجهه الجايه.,هسافر بالقطر للمحطه الجايه.,راح اسافر بالقطار للوجهه الجايه.,رح سافر بالقطار عالوجهه الجايي.,غادي نسافر بالتران للوجهه الجايه.
ابحث عن فندق باسعار معقوله.,ادوّر عن فندق اسعاره معقوله.,بدوّر علي فندق اسعاره معقوله.,ادوّر علي فندق اسعاره معقوله.,عم دوّر علي فندق اسعاره معقوله.,كنقلّب علي اوطيل بثمن مناسب.
ما هي الانشطه المتاحه في هذا الفندق؟,وش الانشطه اللي فيه الفندق ذا؟,ايه الانشطه اللي موجوده في الفندق ده؟,شنو النشاطات المتوفره بهذا الفندق؟,شو النشاطات يلي موجوده بالفندق هاد؟,شنو الانشطه اللي كاينين فهاد الاوتيل؟
هل يوجد خدمه توصيل من المطار؟,فيه خدمه توصيل من المطار؟,فيه خدمه توصيل من المطار؟,اكو خدمه توصيل من المطار؟,في خدمه توصيل من المطار؟,واش كاينه شي خدمه دليڤري من المطاره؟
ساذهب في جوله سياحيه غداً.,باروح رحله سياحيه بكره.,هروح رحله سياحيه بكره.,راح اروح رحله سياحيه باجر.,رح روح رحله سياحيه بكرا.,غادي نمشي فرحله سياحيه غدا.
اريد ان اتعلم بعض الكلمات العربيه.,ابغي اتعلم شويه كلمات عربي.,عايز اتعلم شويه كلمات عربي.,اريد اتعلم كم كلمه عربي.,بدي اتعلم كم كلمه عربي.,بغيت نتعلم شي كلمات دلعربيه.
ما هو رقم هاتف الطواري؟,وش رقم طواري؟,رقم الطواري كام؟,شنو رقم الطواري؟,شو رقم الطواري؟,شحال نمره د الطواري؟
ما هي الاماكن المشهوره بالتسوق؟,وش الاماكن المشهوره بالتسوق؟,ايه الاماكن المشهوره بالتسوق؟,شنو الاماكن المشهوره بالتسوق؟,شو الاماكن المشهوره بالتسوق؟,شنو الاماكن المشهوره بالتسوق؟
هل يوجد مطعم يقدم اطعمه نباتيه؟,فيه مطعم يقدم اكل نباتي؟,فيه مطعم بيقدم اكل نباتي؟,اكو مطعم يقدم اكل نباتي؟,في مطعم بيقدم اكل نباتي؟,واش كاين شي ريسطو كيقدم ماكله نباتيه؟
ساشارك صور رحلتي علي الانترنت.,بنزل صور رحلتي علي الانترنت.,هنزل صور رحلتي علي النت.,رح انزل صور سفري علي النت.,رح نزل صور سفري عالنت.,غادي نحط تصاور ديال السفر ديالي علي الانترنت.
احتاج الي ترجمه هذه الجمله.,احتاج ترجمه هالجمله.,انا محتاج ترجمه الجمله دي.,احتاج ترجمه هاي الجمله.,بدي ترجمه هالجمله.,بغيت ترجمه هاد الجمله.
هل يمكنني دفع الفاتوره ببطاقه الايتمان؟,هل اقدر ادفع الفاتوره ببطاقه الفيزا؟,ممكن ادفع الحساب بكارت الكريديت؟,اگدر ادفع الحساب ببطاقه الفيزا؟,فيني دافع الحساب ببطاقه الكريديت؟,واش يمكن ليا نخلص الفاتوره بكارت كريدي؟
اريد ان اتعرف علي اصدقاء جدد.,ابغي اتعرف علي اصحاب جدد.,عايز اتعرف علي اصحاب جداد.,اريد اتعرف علي اصدقاء جدد.,بدي اتعرف علي رفقات جداد.,بغيت نتعرف علي صحاب جداد.
اريد ان اريح قليلاً في الفندق.,ابغي اريح شوي بالفندق.,انا عايز اريح شويه في الاوتيل.,اريد اريح شويه بالفندق.,بدي ريح شوي بالفندق.,بغيت نرتاح شويه ف لوتيل.
استمتعت بزياره الحدايق العامه.,استمتعت بزياره الحدايق العامه.,استمتعت بزياره الحدايق العامه.,استمتعت بزياره الحدايق العامه.,استمتعت بزياره الحدايق العامه.,استمتعت بزياره الحدايق العامه.
هل يوجد حمام سباحه في الغرفه؟,فيه مسبح بالغرفه؟,فيه حمام سباحه في الاوضه؟,اكو حمام سباحه بالغرفه؟,في حمام سباحه بالغرفه؟,واش كاين شي بيسين فالشومبره؟
اريد شراء تذكره ذهاب واياب.,ابغي اشتري تذكره ذهاب وعوده.,انا عايز اشتري تذكره ذهاب وعوده.,اريد اشتري تذكره ذهاب واياب.,بدي اشتري تذكره ذهاب واياب.,بغيت نشري تيكيت دهاب واياب.
اريد ان اذهب للتخييم في الجبال.,ابغي اروح اتكيمب في الجبال.,عايز اروح اتكامب في الجبال.,اريد اروح اتكمّب بالجبال.,بدي روح كمب بالجبال.,بغيت نمشي نكامبيو ف الجبال.
ساحجز رحله بالمنطاد.,بحجز رحله بالمنطاد.,هحجز رحله بالمنطاد.,راح احجز رحله بالمنطاد.,رح احجز رحله بالمنطاد.,غادي نحجز رحله بالمنطاد.
ما هي الاماكن التي يجب تجنبها؟,وش الاماكن اللي لازم نتجنبها؟,ايه الاماكن اللي لازم نتجنبها؟,شنو الاماكن اللي لازم نتجنبها؟,شو الاماكن يلّي لازم نتجنبها؟,شنو البلايص اللي خصنا نتجنبوها؟
ساحجز تذكره دخول الي المتحف.,بحجز تذكره دخول للمتحف.,هحجز تذكره دخول للمتحف.,راح احجز تذكره دخول للمتحف.,رح احجز تذكره دخول للمتحف.,غادي نحجز تذكره ددخول للمتحف.
اريد شراء بعض الكتب عن تاريخ هذا البلد.,ابغي اشتري كم كتاب عن تاريخ هالدوله.,انا عايز اشتري شويه كتب عن تاريخ البلد دي.,اريد اشتري جم كتاب عن تاريخ هاي الدوله.,بدي اشتري كم كتاب عن تاريخ هالبلد.,بغيت نشري شي كُتُب علي تاريخ هاد لبلاد.
هل يوجد طبيب قريب؟,فيه دكتور قريب؟,فيه دكتور قريب؟,اكو دكتور قريب؟,في دكتور قريب؟,كاين شي طبيب قريب؟
اريد ان اذهب للتزلج.,ابغي اروح اتزلج.,انا عايز اروح اتزلج.,اريد اروح اتزلج.,بدي روح تزلج.,بغيت نمشي نتزلج.
ساحجز رحله الي جزيره.,بحجز رحله لجزيره.,هحجز رحله لجزيره.,راح احجز رحله لجزيره.,رح احجز رحله لجزيره.,غادي نحجز شي رحله لشي جزيره.
ساستخدم الانترنت لحجز الفنادق.,بستخدم النت لحجز الفنادق.,هستخدم النت علشان احجز الفنادق.,راح استخدم الانترنت لحجز الفنادق.,رح استخدم النت لحجز الفنادق.,غادي نستعمل الانترنيت باش نحجز الفنادق.
ما هي الاماكن التي تقدم جولات سياحيه؟,وش الاماكن اللي تقدم جولات سياحيه؟,ايه الاماكن اللي بتقدم جولات سياحيه؟,شنو الاماكن اللي تقدم جولات سياحيه؟,شو الاماكن يلي بتقدم جولات سياحيه؟,شنو الاماكن اللي كتقّدم جولات سياحيه؟
احتاج الي كيس للنوم.,احتاج كيس نوم.,انا محتاج كيس نوم.,اريد كيس نوم.,بدي كيس نوم.,بغيت شاكيه ديال النعاس.
هل يوجد بنك قريب؟,فيه بنك قريب؟,فيه بنك قريب؟,اكو بنك قريب؟,في بنك قريب؟,واش كاين شي بنكه قريبه؟
اريد ان اذهب لصيد الاسماك.,ابغي اروح اصيد سمك.,انا عايز اروح اصطاد سمك.,اريد اروح اصيد سمج.,بدي روح اصيد سمك.,بغيت نمشي نصيد الحوت.
ما هي افضل الاماكن لشراء الهدايا التذكاريه؟,وش افضل الاماكن اللي نشتري منها هدايا تذكاريه؟,ايه احسن اماكن اشتري منها هدايا تذكاريه؟,شنو افضل اماكن نشتري بيها هدايا تذكاريه؟,شو احسن اماكن نشتري منها هدايا تذكاريه؟,فين احسن بلايص نشريو منها هدايا تذكاريه؟
ساحجز تذكره للقطار السريع.,بحجز تذكره للقطار السريع.,هحجز تذكره للقطر السريع.,راح احجز تذكره للقطار السريع.,رح احجز تذكره للقطار السريع.,غادي نحجز تذكره للقطار السريع.
استمتعت بزياره الاسواق العايمه.,استمتعت بزياره الاسواق العايمه.,استمتعت بزياره الاسواق العايمه.,استمتعت بزياره الاسواق العايمه.,استمتعت بزياره الاسواق العايمه.,استمتعت بزياره الاسواق لّعايما.
ما هي الاماكن التي تقدم دروساً في الطبخ؟,وش الاماكن اللي تقدم دروس في الطبخ؟,ايه الاماكن اللي بتدي دروس في الطبخ؟,شنو الاماكن اللي تنطي دروس بالطبخ؟,شو الاماكن يلي بتعطي دروس بالطبخ؟,شنو الاماكن اللي كايعطيوا دروس ف الطياب؟
ساحجز سياره خاصه مع سايق.,باحجز سياره خاصه مع سواق.,هحجز عربيه خاصه مع سواق.,راح احجز سياره خاصه ويا سايق.,رح احجز سياره خاصه مع سواق.,غادي نحجز طونوبيل خاصه مع شيفور.
اريد شراء بعض الملابس التقليديه.,ابغي اشتري شويه ملابس تقليديه.,انا عايز اشتري شويه لبس تقليدي.,اريد اشتري كم ملابس تقليديه.,بدي اشتري كم قطعه لبس تقليدي.,بغيت نشري شي حوايج تقليديين.
ساستخدم خريطه ورقيه.,بستخدم خريطه ورقيه.,هستخدم خريطه ورقيه.,راح استخدم خريطه ورقيه.,رح استخدم خريطه ورقيه.,غادي نستخدم خريطه ورقيه.
ما هي اوقات الصلاه؟,وش اوقات الصلاه؟,ايه مواعيد الصلاه؟,شنو اوقات الصلاه؟,شو اوقات الصلاه؟,شحال مواقيت الصلاه؟
اريد ان اذهب لتسلق الجبال.,ابغي اروح اتسلق الجبال.,انا عايز اروح اتسلق الجبال.,اريد اروح اتسلّق الجبال.,بدي روح اتسلق الجبال.,بغيت نمشي نتسلق الجبال.
ساحجز رحله الي مدينه اخري.,راح احجز رحله لمدينه ثانيه.,هحجز رحله لمدينه تانيه.,راح احجز رحله لمدينه ثانيه.,رح احجز رحله لمدينه تانيه.,غادي نحجز رحله لمدينه اخري.
استمتعت بزياره المناطق الريفيه.,استمتعت بزياره المناطق الريفيه.,استمتعت بزياره الارياف.,استمتعت بزياره المناطق الريفيه.,استمتعت بزياره المناطق الريفيه.,استمتعت بزياره المناطق القرويه.
ما هي الاماكن المناسبه للاسترخاء؟,وش الاماكن الزينه للاسترخاء؟,ايه الاماكن المناسبه للاسترخاء؟,شنو الاماكن المناسبه للاسترخاء؟,شو الاماكن المناسبه للاسترخاء؟,شنو الاماكن المناسبه للاسترخاء؟
هل يوجد مكتبه قريبه؟,فيه مكتبه قريبه؟,فيه مكتبه قريبه؟,اكو مكتبه قريبه؟,في مكتبه قريبه؟,واش كاينه شي مكتبه قريبه؟
اريد شراء بعض الحرف اليدويه المحليه.,ابغي اشتري شويه حرف يدويه محليه.,عايز اشتري شويه حاجات يدويه محليه.,اريد اشتري شويه اشغال يدويه محليه.,بدي اشتري شويه شغل يدوي بلدي.,بغيت نشري شي حرف يدويه محليه.
ساستخدم دليل السفر الالكتروني.,بستخدم دليل السفر الالكتروني.,هستخدم دليل السفر الالكتروني.,راح استخدم دليل السفر الالكتروني.,رح استخدم دليل السفر الالكتروني.,غادي نستخدم دليل السفر الالكتروني.
